district,property_type,bedrooms,bathrooms,size_sqm,year_built,has_garage,has_garden,has_swimming_pool,has_security,is_gated_community,distance_to_cbd_km,road_condition,price_usd
Gasabo,Apartment,3,3,83,1998,1,1,0,0,1,3.9,Gravel,233900
Gasabo,Apartment,5,4,141,2009,0,0,1,1,1,9.7,Dirt,233100
Kicukiro,Apartment,2,1,64,2017,0,1,0,1,0,0.8,Gravel,186400
Kicukiro,Standalone Villa,3,2,67,2015,1,1,0,1,0,0.7,Tarmac,304300
Musanze,Apartment,2,1,79,2007,1,0,0,0,1,1.2,Dirt,128900
Gasabo,Standalone Villa,4,4,110,2008,1,1,0,1,1,6.6,Tarmac,364100
Kicukiro,Standalone Villa,5,5,160,1992,1,0,0,1,0,1.3,Dirt,287600
Nyarugenge,Apartment,2,1,40,1998,1,0,0,0,0,2.6,Gravel,187500
Gasabo,Apartment,3,3,100,2020,1,1,0,1,1,8.3,Dirt,214700
Nyarugenge,Standalone Villa,2,1,70,2006,1,1,0,0,1,0.5,Tarmac,343500
Gasabo,Townhouse,3,3,95,2012,0,1,1,0,1,1.6,Gravel,270400
Gasabo,Bungalow,3,3,75,2023,1,1,1,1,1,21.3,Gravel,237800
Huye,Apartment,5,4,153,1994,0,1,0,1,0,8.7,Gravel,139000
Huye,Apartment,3,3,72,2004,0,1,0,0,0,2.9,Tarmac,113100
Musanze,Apartment,3,2,86,1992,1,0,0,0,1,0.5,Tarmac,156700
Kicukiro,Standalone Villa,2,1,75,2008,0,1,0,1,0,7.1,Gravel,232200
Gasabo,Townhouse,2,1,71,2017,0,1,0,1,1,2.0,Tarmac,250200
Nyarugenge,Townhouse,2,1,60,1992,0,0,0,1,1,25.8,Gravel,200400
Kicukiro,Townhouse,2,2,45,1993,1,1,0,1,0,9.3,Tarmac,214500
Gasabo,Apartment,4,3,129,2013,1,1,0,1,1,29.2,Dirt,195200
Kicukiro,Standalone Villa,3,3,90,2020,0,1,0,0,1,15.1,Tarmac,283400
Gasabo,Bungalow,3,3,55,2000,0,0,0,1,0,5.3,Tarmac,227900
Rubavu,Apartment,2,1,71,1990,0,1,0,0,1,8.9,Tarmac,102200
Gasabo,Standalone Villa,4,4,119,1998,0,0,1,1,0,13.4,Gravel,304700
Nyarugenge,Bungalow,4,4,138,2006,0,0,0,1,1,6.9,Tarmac,289000
Kicukiro,Townhouse,2,2,43,1990,1,1,1,1,0,0.5,Tarmac,238200
Kicukiro,Townhouse,4,4,72,1992,0,1,0,1,1,5.1,Gravel,207500
Kicukiro,Apartment,3,2,94,2015,0,0,0,1,0,1.1,Tarmac,211500
Gasabo,Standalone Villa,2,2,64,2020,0,0,0,1,0,10.0,Dirt,246200
Huye,Apartment,3,2,64,2015,0,1,0,1,0,9.1,Dirt,97100
Musanze,Townhouse,3,2,75,2012,0,1,0,0,0,39.6,Tarmac,105700
Huye,Apartment,2,1,101,2019,1,1,0,1,0,7.9,Dirt,118300
Rubavu,Townhouse,5,5,145,1999,0,1,0,0,0,12.9,Gravel,151600
Nyarugenge,Townhouse,4,3,130,1997,1,0,0,0,1,2.5,Tarmac,335900
Rubavu,Standalone Villa,3,3,80,2014,1,0,0,0,1,3.3,Gravel,185300
Gasabo,Apartment,3,2,58,2011,0,0,0,1,1,19.9,Gravel,191600
Gasabo,Apartment,3,3,87,2004,0,0,0,1,1,11.3,Dirt,181900
Gasabo,Townhouse,3,2,86,1999,1,0,1,1,1,8.5,Gravel,256600
Kicukiro,Townhouse,3,2,84,2009,0,0,0,0,0,2.3,Tarmac,212900
Kicukiro,Townhouse,2,2,58,2012,1,1,0,0,1,9.6,Gravel,224400
Gasabo,Apartment,3,3,93,1990,1,0,1,1,1,17.4,Tarmac,266600
Musanze,Standalone Villa,4,3,117,1991,0,1,0,0,0,2.1,Gravel,188600
Kicukiro,Townhouse,3,3,71,2008,1,1,0,0,1,9.8,Gravel,230100
Gasabo,Standalone Villa,2,1,67,2003,1,1,0,1,0,4.0,Tarmac,315800
Kicukiro,Townhouse,4,4,90,1997,0,1,0,1,1,1.0,Tarmac,278500
Gasabo,Townhouse,2,2,40,2001,1,1,0,1,1,11.5,Gravel,213000
Musanze,Apartment,2,1,71,2015,0,0,0,0,1,1.5,Tarmac,150900
Gasabo,Apartment,2,1,67,2016,0,0,0,1,0,2.3,Tarmac,202900
Huye,Standalone Villa,3,2,89,2018,1,0,0,1,0,12.2,Gravel,156800
Musanze,Apartment,4,4,99,2004,1,0,0,1,1,10.8,Dirt,142100
Gasabo,Townhouse,3,2,79,1990,1,1,1,0,0,2.3,Gravel,272000
Gasabo,Townhouse,2,2,56,2017,0,1,0,1,0,22.6,Tarmac,198800
Musanze,Bungalow,4,3,96,1992,0,1,1,1,0,1.9,Gravel,185400
Nyarugenge,Townhouse,4,3,108,2007,0,0,0,0,1,40.0,Tarmac,251000
Nyarugenge,Apartment,4,4,129,2023,0,1,0,1,0,10.7,Gravel,235500
Musanze,Apartment,2,2,81,2021,0,0,0,0,0,4.0,Gravel,130400
Gasabo,Townhouse,3,3,83,2018,0,1,0,1,0,1.1,Dirt,216500
Kicukiro,Apartment,5,4,161,2014,0,0,0,1,0,3.1,Dirt,231800
Gasabo,Townhouse,4,4,91,2015,0,0,0,1,0,1.7,Tarmac,273600
Rubavu,Townhouse,1,1,40,1997,0,0,0,1,1,7.8,Dirt,79400
Nyarugenge,Apartment,2,2,47,2008,1,1,0,1,1,3.5,Dirt,203900
Kicukiro,Apartment,3,2,94,2011,1,0,0,1,1,2.8,Gravel,257800
Gasabo,Standalone Villa,5,4,146,2018,0,0,0,1,0,11.3,Tarmac,365900
Kicukiro,Bungalow,3,3,109,2022,1,1,0,0,1,2.1,Gravel,239600
Kicukiro,Apartment,3,3,76,1992,1,1,0,1,1,7.1,Tarmac,227200
Nyarugenge,Bungalow,2,2,69,2008,1,0,0,1,0,1.7,Gravel,244800
Nyarugenge,Standalone Villa,3,2,85,1999,0,1,0,1,0,10.0,Tarmac,316600
Rubavu,Bungalow,4,3,117,2016,0,0,0,1,1,7.8,Gravel,163100
Kicukiro,Apartment,3,3,87,2004,1,0,0,1,0,12.8,Dirt,181500
Gasabo,Apartment,4,3,107,2000,0,0,0,1,1,0.6,Tarmac,257500
Nyarugenge,Townhouse,5,5,149,2015,1,0,1,1,0,1.9,Gravel,354200
Musanze,Bungalow,2,2,59,2013,1,1,0,1,1,1.3,Tarmac,164000
Nyarugenge,Standalone Villa,3,2,93,2002,1,1,0,1,1,1.7,Gravel,357600
Musanze,Townhouse,2,2,61,2021,0,0,1,1,0,0.9,Gravel,162100
Kicukiro,Bungalow,4,4,131,1993,0,1,1,0,0,6.6,Tarmac,239100
Kicukiro,Apartment,3,3,103,2002,0,1,1,0,0,7.2,Gravel,223700
Kicukiro,Standalone Villa,3,3,74,1998,1,0,0,1,0,14.8,Dirt,238700
Gasabo,Bungalow,4,4,133,2023,0,0,0,0,0,4.3,Tarmac,257700
Gasabo,Standalone Villa,3,3,72,1996,1,1,0,1,1,6.1,Gravel,295900
Gasabo,Apartment,5,4,158,1990,0,1,0,1,0,38.0,Gravel,205500
Nyarugenge,Townhouse,3,3,99,2001,0,1,0,0,0,6.1,Tarmac,276500
Kicukiro,Apartment,2,2,40,2010,0,1,0,1,0,6.8,Dirt,153900
Kicukiro,Apartment,3,3,91,2000,0,0,1,1,0,40.0,Gravel,161600
Rubavu,Bungalow,4,4,112,2003,1,1,0,1,0,40.0,Tarmac,125500
Gasabo,Standalone Villa,3,2,78,2023,0,0,0,0,1,4.4,Tarmac,323700
Kicukiro,Townhouse,4,3,140,2023,1,1,0,0,1,8.1,Tarmac,277700
Musanze,Townhouse,5,5,140,2014,1,1,0,1,0,5.2,Gravel,187000
Gasabo,Apartment,2,1,47,1993,1,0,0,0,0,10.2,Gravel,166800
Gasabo,Apartment,5,5,151,2015,1,0,0,1,0,22.3,Gravel,247300
Gasabo,Apartment,2,2,70,2005,0,1,1,1,0,3.0,Gravel,218600
Gasabo,Apartment,2,2,57,1999,0,0,0,0,0,13.7,Tarmac,187900
Rubavu,Townhouse,2,2,77,1991,1,1,0,1,1,8.5,Tarmac,133000
Musanze,Townhouse,4,4,127,2008,0,1,0,1,0,2.6,Dirt,155900
Nyarugenge,Standalone Villa,3,2,57,1995,0,1,0,0,0,12.8,Dirt,242400
Rubavu,Apartment,2,2,52,2008,0,0,0,0,1,4.5,Tarmac,117600
Musanze,Standalone Villa,3,2,81,1997,1,1,0,0,1,1.0,Gravel,211900
Gasabo,Standalone Villa,3,3,97,2003,0,1,0,0,0,40.0,Tarmac,282500
Rubavu,Standalone Villa,2,2,40,1999,0,1,0,1,1,4.4,Tarmac,170400
Kicukiro,Apartment,4,3,158,1992,0,1,0,0,1,6.2,Gravel,206700
Musanze,Townhouse,4,4,127,2018,1,1,1,0,0,13.2,Tarmac,198400
Rubavu,Apartment,3,3,92,2004,0,1,0,1,0,25.9,Tarmac,72200
Kicukiro,Standalone Villa,5,4,167,2012,1,0,0,1,0,16.5,Gravel,303200
Gasabo,Townhouse,3,2,125,2012,1,1,0,0,1,6.0,Dirt,263300
Gasabo,Apartment,5,4,163,2007,1,0,0,1,0,6.3,Dirt,248400
Kicukiro,Standalone Villa,3,2,104,2008,0,0,0,0,1,2.6,Gravel,258200
Musanze,Apartment,3,2,91,2017,1,0,0,1,1,5.0,Tarmac,179000
Rubavu,Apartment,2,1,57,2015,0,1,1,1,0,23.5,Tarmac,121100
Gasabo,Apartment,4,4,112,1999,0,1,0,1,0,10.4,Gravel,235400
Kicukiro,Bungalow,3,3,77,1993,1,1,0,1,0,0.5,Dirt,206800
Kicukiro,Standalone Villa,2,2,49,1991,1,0,0,1,0,1.0,Dirt,218800
Gasabo,Bungalow,1,1,40,1992,1,0,0,1,1,20.6,Gravel,155800
Gasabo,Standalone Villa,3,2,88,1996,1,0,0,1,0,15.1,Tarmac,310700
Kicukiro,Standalone Villa,3,2,64,2005,0,1,1,0,0,5.3,Tarmac,303200
Huye,Standalone Villa,4,4,122,2020,1,0,0,1,0,7.7,Tarmac,168800
Kicukiro,Apartment,4,4,119,1999,0,0,0,1,0,2.7,Dirt,184700
Kicukiro,Apartment,2,1,62,2008,1,0,1,1,0,12.6,Tarmac,195500
Nyarugenge,Apartment,4,4,112,2017,0,1,0,1,0,7.4,Tarmac,273000
Kicukiro,Standalone Villa,2,1,106,2006,0,1,1,1,0,9.5,Tarmac,295000
Huye,Apartment,4,4,140,2017,0,1,0,1,0,3.8,Gravel,149400
Huye,Apartment,4,4,101,2008,0,0,0,0,0,4.5,Gravel,120500
Gasabo,Apartment,3,3,93,2012,0,0,0,0,1,1.9,Gravel,213000
Kicukiro,Standalone Villa,4,4,110,2009,0,0,0,1,0,23.7,Gravel,262100
Kicukiro,Townhouse,3,2,74,2002,0,0,0,1,0,23.4,Gravel,168000
Gasabo,Bungalow,3,2,69,2002,1,0,0,1,0,13.6,Tarmac,230300
Gasabo,Apartment,4,3,126,2000,0,0,0,1,0,21.9,Tarmac,198700
Nyarugenge,Apartment,3,3,79,2004,0,0,0,1,1,8.8,Dirt,203200
Kicukiro,Standalone Villa,3,3,104,2006,0,0,0,1,0,2.1,Tarmac,310300
Gasabo,Bungalow,3,2,104,2017,0,0,0,0,1,11.4,Tarmac,238800
Gasabo,Apartment,4,3,140,2008,1,1,0,1,0,3.1,Tarmac,261300
Rubavu,Townhouse,3,3,77,1993,1,1,0,0,0,4.6,Tarmac,139500
Gasabo,Standalone Villa,2,2,67,2011,0,1,0,1,1,2.6,Tarmac,309700
Gasabo,Apartment,4,3,129,2011,1,0,0,0,0,4.4,Gravel,240400
Kicukiro,Apartment,4,4,112,2023,1,0,0,0,1,9.1,Dirt,223200
Huye,Apartment,2,2,48,2022,0,1,1,0,0,0.9,Gravel,129300
Gasabo,Bungalow,2,2,84,2022,1,0,0,0,0,0.9,Tarmac,236700
Nyarugenge,Standalone Villa,2,2,63,2001,0,1,0,1,1,9.2,Gravel,311900
Musanze,Standalone Villa,3,2,99,1991,0,1,1,1,0,12.1,Gravel,169300
Gasabo,Standalone Villa,3,2,77,2017,0,1,1,0,1,6.4,Dirt,298400
Nyarugenge,Townhouse,4,4,101,1999,0,1,0,1,0,1.6,Tarmac,301200
Kicukiro,Standalone Villa,3,3,81,2011,1,1,0,1,1,4.5,Tarmac,317800
Nyarugenge,Apartment,3,3,88,2006,0,1,0,0,0,11.4,Gravel,208500
Nyarugenge,Apartment,3,3,74,2015,0,0,0,0,1,9.3,Gravel,217900
Kicukiro,Apartment,4,4,119,1992,0,0,1,0,1,0.9,Tarmac,246100
Gasabo,Townhouse,3,2,64,1996,1,0,0,1,0,27.8,Tarmac,228000
Musanze,Apartment,5,5,133,1997,1,0,0,0,0,2.0,Gravel,174000
Kicukiro,Standalone Villa,3,3,100,2009,1,0,0,0,1,2.0,Tarmac,308600
Gasabo,Apartment,2,2,69,2001,0,0,0,0,0,4.9,Tarmac,191200
Gasabo,Bungalow,3,3,84,2006,1,1,0,1,0,3.2,Tarmac,240800
Nyarugenge,Apartment,3,3,74,2017,0,0,0,1,1,33.1,Tarmac,207400
Nyarugenge,Apartment,3,3,74,1999,0,0,0,0,1,0.6,Tarmac,261400
Gasabo,Bungalow,2,1,54,2011,0,0,0,1,0,2.9,Tarmac,215700
Kicukiro,Standalone Villa,2,2,69,2022,0,1,0,1,0,3.9,Tarmac,286100
Gasabo,Bungalow,4,4,133,2011,1,0,0,0,0,5.4,Tarmac,274400
Nyarugenge,Apartment,2,1,52,2002,1,1,0,0,0,0.5,Tarmac,253000
Gasabo,Apartment,4,3,102,2016,1,1,0,1,0,0.7,Tarmac,261900
Nyarugenge,Townhouse,2,2,64,2004,0,1,1,1,1,2.4,Tarmac,298300
Kicukiro,Bungalow,3,2,77,2011,0,0,0,1,0,6.5,Tarmac,207900
Huye,Apartment,3,3,82,2019,0,0,0,1,1,11.7,Tarmac,133000
Gasabo,Bungalow,3,3,109,2023,1,1,0,0,1,9.3,Tarmac,265200
Kicukiro,Standalone Villa,3,3,102,2023,1,0,0,0,1,6.7,Tarmac,303000
Gasabo,Townhouse,2,1,62,2008,1,0,0,1,0,4.0,Gravel,225100
Rubavu,Standalone Villa,1,1,40,1997,0,0,0,1,0,16.4,Tarmac,113400
Rubavu,Apartment,3,3,93,2022,1,1,0,0,0,4.9,Dirt,137100
Gasabo,Bungalow,3,3,105,2017,1,0,0,1,0,2.8,Tarmac,237300
Nyarugenge,Bungalow,5,4,144,2014,1,1,0,1,0,7.9,Dirt,248800
Musanze,Standalone Villa,4,4,140,2006,1,0,0,0,1,9.4,Tarmac,231600
Nyarugenge,Apartment,4,4,139,2013,1,1,0,1,0,4.1,Gravel,268400
Kicukiro,Apartment,4,3,144,2010,1,1,0,0,0,0.5,Tarmac,270700
Gasabo,Standalone Villa,3,2,94,1991,1,0,0,1,0,0.8,Dirt,282100
Gasabo,Apartment,2,1,68,2020,0,0,0,1,1,14.9,Tarmac,192100
Rubavu,Standalone Villa,5,4,171,2022,0,0,0,0,1,0.5,Dirt,222500
Rubavu,Apartment,3,3,96,2019,0,0,0,1,0,7.2,Gravel,141000
Nyarugenge,Townhouse,3,2,82,2001,0,1,0,1,0,1.6,Gravel,251500
Kicukiro,Apartment,2,1,53,2001,1,0,1,0,1,2.1,Dirt,194400
Kicukiro,Standalone Villa,3,3,93,2013,0,1,0,0,0,2.6,Dirt,239200
Nyarugenge,Standalone Villa,3,3,70,2013,0,0,0,0,1,0.5,Gravel,315600
Rubavu,Townhouse,4,4,117,2000,0,0,0,1,0,1.6,Tarmac,179900
Rubavu,Standalone Villa,3,3,106,2002,1,1,0,0,0,8.4,Tarmac,152900
Musanze,Apartment,3,2,57,2016,0,1,0,1,0,5.5,Tarmac,126100
Nyarugenge,Townhouse,5,4,173,1997,0,0,1,0,1,12.8,Tarmac,333700
Gasabo,Townhouse,2,2,76,1999,0,1,0,0,0,0.5,Tarmac,241600
Gasabo,Townhouse,3,3,83,1997,0,0,0,1,0,17.6,Gravel,196300
Rubavu,Bungalow,1,1,40,2009,1,1,0,1,0,40.0,Gravel,66500
Nyarugenge,Townhouse,4,4,120,1997,0,0,0,1,0,0.5,Tarmac,279100
Gasabo,Townhouse,5,5,168,1998,1,0,1,1,1,27.4,Gravel,277700
Gasabo,Apartment,2,2,74,1996,1,1,0,1,1,2.2,Tarmac,238600
Nyarugenge,Standalone Villa,4,4,98,2003,1,0,1,0,0,9.4,Dirt,307800
Gasabo,Standalone Villa,2,2,68,2017,0,0,0,0,1,2.8,Tarmac,311900
Gasabo,Apartment,5,5,146,1991,0,0,0,0,0,5.9,Gravel,227300
Kicukiro,Standalone Villa,4,4,121,1997,0,1,0,1,0,5.7,Dirt,267100
Nyarugenge,Apartment,4,4,109,2002,0,1,0,1,1,3.6,Tarmac,270200
Nyarugenge,Townhouse,1,1,56,2010,1,1,1,0,0,10.1,Gravel,265500
Gasabo,Standalone Villa,5,5,165,2017,0,0,0,0,0,7.3,Dirt,308000
Nyarugenge,Standalone Villa,4,3,108,2012,0,1,0,0,0,5.7,Tarmac,347500
Gasabo,Bungalow,3,2,69,2004,1,0,0,1,1,32.5,Dirt,176800
Kicukiro,Standalone Villa,4,4,114,1991,1,0,1,1,0,22.5,Gravel,286700
Nyarugenge,Standalone Villa,2,2,66,2001,0,1,1,0,0,24.9,Tarmac,322100
Nyarugenge,Apartment,4,3,123,1992,0,0,0,1,1,17.1,Tarmac,255400
Musanze,Bungalow,2,2,78,1994,0,0,0,1,1,2.4,Gravel,136400
Nyarugenge,Standalone Villa,4,4,131,1992,1,1,0,0,1,3.4,Dirt,331800
Nyarugenge,Townhouse,3,2,104,2008,1,1,0,1,0,2.1,Tarmac,305700
Gasabo,Apartment,2,1,64,1991,1,0,0,1,0,34.3,Gravel,156300
Kicukiro,Standalone Villa,2,1,40,2006,1,0,0,0,0,1.3,Tarmac,265000
Gasabo,Apartment,1,1,40,2003,0,1,0,1,1,3.7,Gravel,195100
Gasabo,Townhouse,3,2,105,2017,0,0,0,0,1,1.8,Gravel,262400
Huye,Townhouse,3,3,89,2016,0,0,0,1,1,2.0,Tarmac,169600
Kicukiro,Townhouse,3,2,97,1999,1,0,0,1,0,2.3,Gravel,239000
Rubavu,Townhouse,2,2,55,1992,1,1,0,1,0,8.2,Dirt,119100
Nyarugenge,Standalone Villa,2,2,44,2014,0,0,0,0,0,0.6,Tarmac,314200
Musanze,Townhouse,4,3,118,2011,0,0,0,0,0,6.8,Gravel,140900
Kicukiro,Standalone Villa,1,1,40,2019,1,0,0,1,0,13.7,Tarmac,252800
Nyarugenge,Townhouse,5,5,140,2010,0,0,0,0,1,11.6,Gravel,299500
Kicukiro,Apartment,4,3,116,2019,1,0,0,1,0,1.3,Gravel,223900
Gasabo,Apartment,3,3,75,2017,0,1,0,0,0,19.7,Tarmac,187100
Nyarugenge,Standalone Villa,3,3,106,2020,0,1,0,1,1,11.8,Gravel,351100
Gasabo,Standalone Villa,4,4,115,2015,0,0,0,1,0,0.5,Gravel,321400
Gasabo,Apartment,2,1,81,2011,1,1,0,1,1,10.7,Dirt,183600
Nyarugenge,Townhouse,2,1,82,2010,1,0,0,0,0,10.7,Tarmac,253700
Gasabo,Apartment,2,2,58,1990,0,1,0,1,0,5.5,Tarmac,185400
Huye,Apartment,4,3,104,2002,1,0,0,0,0,0.5,Gravel,144000
Huye,Townhouse,1,1,40,2010,1,1,0,1,0,6.9,Gravel,119600
Rubavu,Standalone Villa,3,2,67,1998,1,0,0,0,0,11.6,Tarmac,148800
Kicukiro,Townhouse,5,5,129,2006,0,1,1,1,0,2.5,Dirt,263600
Gasabo,Standalone Villa,4,4,140,2010,1,1,0,1,0,8.8,Gravel,325400
Rubavu,Bungalow,3,2,91,2020,0,0,0,1,0,3.5,Dirt,118600
Kicukiro,Standalone Villa,2,2,65,2011,0,0,0,1,0,6.8,Tarmac,254100
Huye,Apartment,4,4,86,2001,0,0,0,0,0,3.9,Tarmac,138000
Huye,Standalone Villa,3,3,72,1995,0,1,1,1,0,2.9,Tarmac,179700
Rubavu,Apartment,2,1,73,2005,1,0,0,0,1,15.5,Dirt,98500
Gasabo,Bungalow,2,2,64,2015,0,1,0,1,1,11.2,Tarmac,224700
Kicukiro,Apartment,5,5,147,1994,0,1,0,1,1,3.4,Dirt,220000
Rubavu,Standalone Villa,3,3,98,1998,1,0,0,1,0,4.6,Gravel,178500
Kicukiro,Apartment,4,4,144,2003,1,0,0,0,1,9.4,Tarmac,259500
Gasabo,Townhouse,4,4,116,2019,1,1,0,0,0,13.3,Tarmac,258200
Nyarugenge,Apartment,3,2,91,2015,0,1,0,1,0,9.2,Gravel,230000
Huye,Bungalow,3,2,92,2018,1,1,0,1,0,6.2,Gravel,142500
Nyarugenge,Apartment,3,3,125,2008,0,0,0,0,1,24.7,Tarmac,244900
Nyarugenge,Apartment,3,3,58,1997,1,0,0,0,1,11.9,Dirt,213400
Gasabo,Apartment,3,3,100,2012,1,1,0,0,1,1.0,Gravel,272100
Nyarugenge,Townhouse,4,4,118,2020,1,1,0,1,0,6.5,Dirt,275100
Huye,Bungalow,3,2,98,2021,0,1,0,1,1,4.2,Gravel,152800
Gasabo,Apartment,4,4,110,1994,0,0,0,0,0,12.7,Tarmac,218400
Kicukiro,Apartment,3,3,89,2005,0,0,0,0,0,0.5,Gravel,182300
Rubavu,Townhouse,3,2,100,2006,0,0,1,1,1,4.2,Gravel,180600
Nyarugenge,Apartment,3,3,136,2021,0,1,0,0,0,3.1,Tarmac,273900
Nyarugenge,Apartment,3,2,102,2021,1,0,0,1,0,1.2,Dirt,229600
Nyarugenge,Apartment,4,4,107,2009,0,1,0,1,0,3.8,Tarmac,249800
Kicukiro,Apartment,2,1,53,1991,1,1,0,1,1,8.9,Dirt,152500
Gasabo,Apartment,3,2,83,2009,0,0,0,1,0,3.6,Dirt,192800
Musanze,Apartment,2,1,40,2007,0,0,0,1,0,6.9,Gravel,92700
Musanze,Standalone Villa,3,2,85,1990,1,1,0,0,0,7.2,Tarmac,183400
Rubavu,Townhouse,3,3,100,2018,1,0,0,1,0,7.1,Gravel,154800
Rubavu,Apartment,3,3,70,2018,0,0,0,0,1,6.0,Gravel,127500
Kicukiro,Townhouse,5,4,165,2008,0,0,0,1,0,1.0,Tarmac,276000
Kicukiro,Apartment,3,3,97,1995,1,1,0,0,0,2.0,Gravel,203200
Musanze,Townhouse,4,4,108,1997,0,1,0,1,0,12.9,Gravel,157200
Nyarugenge,Apartment,3,3,87,2013,0,1,0,0,0,5.6,Tarmac,247100
Nyarugenge,Townhouse,3,3,113,2009,1,1,0,0,0,9.8,Tarmac,279200
Musanze,Apartment,2,2,71,2003,0,1,0,0,0,6.8,Tarmac,116700
Rubavu,Bungalow,2,2,60,1994,0,1,0,1,1,0.5,Tarmac,123800
Kicukiro,Apartment,3,2,86,2023,1,1,1,1,0,12.7,Dirt,211200
Kicukiro,Standalone Villa,3,3,91,2005,1,0,0,0,0,0.5,Gravel,270300
Gasabo,Bungalow,1,1,40,1996,0,0,0,0,0,22.9,Tarmac,163800
Nyarugenge,Standalone Villa,2,2,40,2005,0,1,0,0,0,1.9,Dirt,257900
Gasabo,Standalone Villa,2,2,90,1996,0,1,0,0,0,5.7,Tarmac,306100
Kicukiro,Bungalow,5,4,152,2016,1,0,0,1,0,0.5,Tarmac,286400
Kicukiro,Apartment,3,3,95,2003,1,1,0,1,1,18.0,Tarmac,221100
Gasabo,Apartment,3,3,89,2003,0,0,0,1,0,31.3,Dirt,143300
Nyarugenge,Bungalow,2,1,48,2022,0,0,0,1,0,1.3,Dirt,185700
Gasabo,Apartment,3,3,87,2022,0,1,1,1,0,2.8,Gravel,255700
Gasabo,Bungalow,2,2,40,2009,0,0,0,1,0,0.5,Tarmac,211800
Musanze,Apartment,2,2,94,1996,1,1,0,0,0,12.4,Tarmac,125000
Kicukiro,Townhouse,3,2,71,2021,0,0,0,0,0,3.0,Gravel,203700
Gasabo,Standalone Villa,1,1,40,1992,0,0,0,1,0,7.1,Tarmac,249100
Kicukiro,Bungalow,1,1,40,2018,0,1,0,0,0,0.5,Tarmac,196000
Musanze,Standalone Villa,2,2,79,2013,0,1,0,0,1,10.1,Gravel,165300
Gasabo,Apartment,1,1,40,2011,0,0,0,1,0,6.0,Tarmac,164500
Nyarugenge,Townhouse,2,2,41,1995,1,1,1,1,0,10.3,Tarmac,275900
Gasabo,Apartment,3,3,108,2013,1,1,0,1,1,12.5,Tarmac,238000
Gasabo,Townhouse,4,4,130,2012,1,0,0,1,0,0.7,Gravel,284100
Kicukiro,Bungalow,3,2,98,1999,1,0,0,0,1,6.9,Dirt,199300
Kicukiro,Standalone Villa,3,2,100,2005,1,1,0,1,0,8.4,Tarmac,308700
Nyarugenge,Townhouse,2,2,95,2000,1,1,0,0,0,5.8,Tarmac,257400
Nyarugenge,Apartment,5,4,182,2021,1,0,0,1,0,1.6,Tarmac,325400
Huye,Standalone Villa,3,3,79,1995,0,0,0,1,0,12.7,Tarmac,139300
Kicukiro,Standalone Villa,2,2,84,2013,0,0,0,1,0,40.0,Gravel,184100
Kicukiro,Townhouse,3,2,95,2022,0,0,1,1,1,27.9,Tarmac,257100
Musanze,Apartment,2,1,67,2001,1,1,0,1,1,12.0,Tarmac,133800
Gasabo,Townhouse,3,2,64,2016,1,1,0,1,1,4.3,Gravel,247600
Kicukiro,Apartment,3,3,87,2007,0,0,0,0,1,3.3,Tarmac,225300
Gasabo,Townhouse,4,3,107,2002,0,1,0,1,1,0.6,Dirt,239900
Gasabo,Apartment,3,3,102,2019,0,1,0,1,0,4.3,Tarmac,249000
Huye,Townhouse,4,3,136,2002,0,1,0,1,1,1.4,Tarmac,175000
